day,platform,title,content_type,scene,goal,status
D0,公众号,Pory.AI绘图内测开放：GPT Image 2 1K 低至约 ￥0.10 / 张，VIP 支持 2K / 4K,产品介绍,综合,建立产品信任,待发布
D0,公众号,5 分钟上手 Pory.AI绘图：从选择风格到生成第一张图,新手教程,综合,降低使用门槛,待发布
D0,公众号,Pory.AI绘图套餐说明：1K 低价出图与 VIP 高清图怎么选,套餐规则,综合,解释价格和规则,待发布
D1,小红书,我用 AI 做了一套小红书封面图，成本不到 1 毛多一张,案例,封面图,测试博主和知识内容需求,待发布
D2,小红书,不会拍产品图，也能做出电商主视觉,案例,商品图,测试小店主需求,待发布
D3,小红书,普通头像照，换成 3D 小红书资料卡,案例,头像图,测试个人IP需求,待发布
D4,小红书,一张食物照片，变成高级菜单海报,案例,美食图,测试餐饮和探店需求,待发布
D5,小红书,我把生活照做成 Q 版手账贴纸风,案例,手账图,测试生活记录需求,待发布
D6,小红书,AI 美甲方案图，适合美甲店发客单,案例,美甲图,测试美甲店需求,待发布
D7,小红书,12 个 AI 生图风格，我最推荐新手先试这 3 个,合集,风格库,引导收藏和评论,待发布
D8,小红书,表现最好场景 1：案例图,案例,待定,放大高意向场景,待定
D9,小红书,表现最好场景 1：教程图,教程,待定,解释具体做法,待定
D10,小红书,表现最好场景 1：错误提示词 vs 正确提示词,教程,待定,提高收藏和转发,待定
D11,小红书,表现最好场景 2：案例图,案例,待定,放大第二高意向场景,待定
D12,小红书,表现最好场景 2：教程图,教程,待定,解释具体做法,待定
D13,小红书,表现最好场景 2：错误提示词 vs 正确提示词,教程,待定,提高收藏和转发,待定
D14,公众号,12 个风格案例合集：哪些场景最适合新手,案例合集,风格库,承接小红书兴趣,待发布
D15,公众号,首批用户最常用的 6 个 AI 生图场景,案例合集,综合,推动咨询成交,待发布
D16,小红书,高意向场景复投 1,案例,待定,延续有效方向,待定
D17,小红书,高意向场景复投 2,教程,待定,回答用户疑问,待定
D18,小红书,高意向场景复投 3,案例,待定,继续收集评论,待定
D19,小红书,高意向场景复投 4,教程,待定,提高购买前理解,待定
D20,小红书,高意向场景复投 5,案例,待定,形成系列感,待定
D21,公众号,新手最容易踩的 5 个 AI 生图坑,教程,综合,降低售后压力,待发布
D22,小红书,内测反馈 1：生成成功案例,反馈,待定,增强信任,待定
D23,小红书,内测反馈 2：用户常问问题,FAQ,综合,减少犹豫,待定
D24,小红书,内测反馈 3：体验包适合谁,套餐解释,综合,推动体验包,待定
D25,小红书,内测反馈 4：高清图适合谁,套餐解释,高清图,推动 VIP 使用,待定
D26,小红书,内测反馈 5：普通图和高清图对比,对比,高清图,解释模型差异,待定
D27,小红书,内测反馈 6：风格库使用技巧,教程,风格库,提高生成成功率,待定
D28,公众号,内测 30 天复盘：哪些 AI 生图场景最值得做,复盘,综合,总结并引导复购,待发布
D29,小红书,最后 2 天内测名额提醒,提醒,综合,推动犹豫用户咨询,待定
D30,小红书,30 天测试总结与下一批内测说明,复盘,综合,总结数据和下一步,待定
